FBgn	FBtr	logFC	P.Value	adj.P.Val	sigP	mel_FBgn	vir_Symbol	mel_Symbol
FBgn0210521	FBtr0239345	6.39918194918842	1.00467172239525e-11	1.13566545850755e-09	Yes	FBgn0037879	GJ23420	scpr-C
FBgn0210521	FBtr0239345	6.39918194918842	1.00467172239525e-11	1.13566545850755e-09	Yes	FBgn0037888	GJ23420	scpr-B
FBgn0210521	FBtr0239345	6.39918194918842	1.00467172239525e-11	1.13566545850755e-09	Yes	FBgn0037889	GJ23420	scpr-A
FBgn0201441	FBtr0230151	1.42510398417194	1.07130575384094e-11	1.16613615205131e-09	Yes	FBgn0263236	GJ14226	SP1029
FBgn0199167	FBtr0441350	5.14532590035218	1.14310298269492e-11	1.19984988076442e-09	Yes	NA	NA	NA
FBgn0013077	FBtr0225996	7.07384439410584	1.20019106942343e-11	1.21633157001222e-09	Yes	NA	NA	NA
FBgn0199249	FBtr0435819	4.29591276335122	1.42243205199187e-11	1.3485573550981e-09	Yes	FBgn0031741	GJ11997	CG11034
FBgn0204585	FBtr0233338	4.64122084108249	1.80386768928779e-11	1.65673973088026e-09	Yes	NA	NA	NA
FBgn0211265	FBtr0240106	4.01772450836144	2.08690975026917e-11	1.8586144715276e-09	Yes	FBgn0039597	GJ24181	CG9997
FBgn0198354	FBtr0443103	4.83166999914047	2.31237872049591e-11	1.9988473704522e-09	Yes	FBgn0038014	GJ11093	CG10041
FBgn0207308	FBtr0440832	5.5501884752862	3.43635983600251e-11	2.8054059883365e-09	Yes	FBgn0033777	GJ20168	CG17574
FBgn0198091	FBtr0434983	3.53699018815565	4.06219577570443e-11	3.22670091480955e-09	Yes	NA	NA	NA
FBgn0283043	FBtr0440676	7.07627577781501	5.04952963553173e-11	3.9054125260073e-09	Yes	NA	NA	NA
FBgn0203892	FBtr0232636	6.38744246995654	7.02843221145859e-11	5.03818591938459e-09	No	FBgn0086907	GJ16711	Cyt-c-d
FBgn0013080	FBtr0226168	3.22317439639715	5.79505963806093e-11	4.25792006906527e-09	No	FBgn0001112	Gld	Gld
FBgn0210936	FBtr0239765	4.63271864869246	9.46160860155866e-11	6.62087325713831e-09	No	FBgn0038395	GJ23840	CG10407
FBgn0199940	FBtr0228629	1.51006541869539	1.34634608650374e-10	9.20211894938253e-09	Yes	FBgn0024277	GJ12704	trio
FBgn0198767	FBtr0227434	6.80592631782046	1.5634448315477e-10	1.0443100817997e-08	Yes	NA	NA	NA
FBgn0199578	FBtr0228257	5.38417409359225	1.75837172923487e-10	1.14841211382695e-08	Yes	FBgn0034321	GJ12332	CG14502
FBgn0199578	FBtr0228257	5.38417409359225	1.75837172923487e-10	1.14841211382695e-08	Yes	FBgn0034322	GJ12332	CG18536
FBgn0199578	FBtr0228257	5.38417409359225	1.75837172923487e-10	1.14841211382695e-08	Yes	FBgn0034323	GJ12332	CG18537
FBgn0199578	FBtr0228257	5.38417409359225	1.75837172923487e-10	1.14841211382695e-08	Yes	FBgn0034325	GJ12332	CG18539
FBgn0282410	FBtr0439373	3.16536159712017	2.1928583896317e-10	1.37665312095936e-08	No	FBgn0054033	GJ26141	CG34033
FBgn0207738	FBtr0442565	6.47391408318857	2.20152081269445e-10	1.37665312095936e-08	Yes	NA	NA	NA
FBgn0201870	FBtr0230588	4.08936839419744	2.9659410106674e-10	1.81602096465656e-08	Yes	FBgn0032834	GJ14663	CG13965
FBgn0197995	FBtr0226643	6.94001805474909	4.44789241228711e-10	2.6678277142269e-08	Yes	FBgn0038485	GJ10718	CG5255
FBgn0207587	FBtr0236372	2.17743073952041	7.28861434499365e-10	4.28424751198727e-08	Yes	FBgn0011695	GJ20447	EbpIII
FBgn0199066	FBtr0227737	2.34610783048359	1.20962486316749e-09	6.9707597506848e-08	Yes	FBgn0032068	GJ11812	LManV
FBgn0199066	FBtr0227737	2.34610783048359	1.20962486316749e-09	6.9707597506848e-08	Yes	FBgn0032069	GJ11812	LManVI
FBgn0199066	FBtr0227737	2.34610783048359	1.20962486316749e-09	6.9707597506848e-08	Yes	FBgn0032253	GJ11812	LManI
FBgn0283399	FBtr0438423	7.31041318669948	1.96356997905647e-09	1.10979464777826e-07	Yes	NA	NA	NA
FBgn0201328	FBtr0439452	1.68108861133906	2.85932476599023e-09	1.58557650702741e-07	Yes	FBgn0036770	GJ14110	Prestin
FBgn0197396	FBtr0226033	1.89657733682767	3.49576987990248e-09	1.90260512537655e-07	Yes	FBgn0037288	GJ10108	CG14661
FBgn0282442	FBtr0441618	2.72062713723261	5.94646565613113e-09	3.06608115146831e-07	Yes	FBgn0083965	GJ26173	CG34129
FBgn0203000	FBtr0231738	1.91984877454417	4.86807468351472e-09	2.60132208997268e-07	Yes	FBgn0031097	GJ15813	obst-A
FBgn0198593	FBtr0227258	9.09051903690857	7.38050769458649e-09	3.61521868573161e-07	Yes	NA	NA	NA
FBgn0204802	FBtr0233558	4.56396567641381	6.38570210729648e-09	3.2357893954042e-07	No	FBgn0069354	GJ17633	Porin2
FBgn0197968	FBtr0226616	1.36796481148079	5.69796471453236e-09	2.99041398143046e-07	Yes	FBgn0039529	GJ10691	CG5612
FBgn0207677	FBtr0443884	2.98084720949321	6.94741521215498e-09	3.46075479805483e-07	Yes	FBgn0015721	GJ20537	ktub
FBgn0199139	FBtr0227810	2.54840465185304	8.96823537807002e-09	4.32092520920456e-07	No	FBgn0036875	GJ11885	CG9449
FBgn0211264	FBtr0240105	3.56191805305333	1.51819288880642e-08	7.19672403258398e-07	No	FBgn0039598	GJ24180	aqrs
FBgn0197341	FBtr0225976	1.01628066714948	1.96946736430208e-08	9.18772156140287e-07	No	FBgn0037913	GJ10051	fabp
FBgn0199323	FBtr0436769	2.32563125641685	3.64631528769126e-08	1.64869548161917e-06	No	FBgn0052407	GJ12071	CG32407
FBgn0202392	FBtr0231121	1.79422238622266	6.91846435184565e-08	3.08081314092036e-06	Yes	FBgn0030927	GJ15196	CG15046
FBgn0205126	FBtr0233884	3.66154806581193	1.3379158440284e-07	5.69874589217312e-06	Yes	FBgn0032495	GJ17959	CG16820
FBgn0208635	FBtr0434939	3.07158441976888	1.12059000191594e-07	4.84325590533964e-06	Yes	FBgn0040093	GJ21515	lectin-46Ca
FBgn0042732	FBtr0237283	1.78786526261202	1.91755589126496e-07	7.93760107665874e-06	Yes	FBgn0020506	Amyrel	Amyrel
FBgn0208636	FBtr0437964	3.02219183862185	2.33909114407229e-07	9.54804010059509e-06	Yes	FBgn0054033	GJ21516	CG34033
FBgn0201412	FBtr0230122	1.02971396833046	2.70586334177951e-07	1.08938799472465e-05	No	FBgn0040283	GJ14197	SMC1
FBgn0211681	FBtr0437613	2.94919815270297	3.93056851814099e-07	1.55672055771062e-05	No	FBgn0260766	GJ24603	CG42564
FBgn0211510	FBtr0240355	2.15858782051803	3.97257712923772e-07	1.55672055771062e-05	Yes	FBgn0038506	GJ24430	CG5860
FBgn0283102	FBtr0444653	15.8383107032786	1.02464622767418e-06	3.76429407891803e-05	Yes	FBgn0260645	GJ26833	CG42537
FBgn0283102	FBtr0444653	15.8383107032786	1.02464622767418e-06	3.76429407891803e-05	Yes	FBgn0261630	GJ26833	CG42713
FBgn0210501	FBtr0239325	1.16061261913599	7.22400997192739e-07	2.75732016980449e-05	Yes	FBgn0039207	GJ23400	CG5789
FBgn0201838	FBtr0230556	1.77390436705903	8.22646542464147e-07	3.09968998500273e-05	Yes	FBgn0051997	GJ14631	CG31997
FBgn0207770	FBtr0236557	1.28604821200604	9.03762960807649e-07	3.36222701495402e-05	Yes	FBgn0002570	Mal	Mal-A1
FBgn0210839	FBtr0239667	1.40494009384829	2.4204881109086e-06	8.57086091320526e-05	No	FBgn0038425	GJ23742	CG14881
FBgn0198297	FBtr0226955	20.0535379021955	3.06939974026499e-06	0.000104894951588823	Yes	FBgn0259974	GJ11030	Sfp84E
FBgn0201888	FBtr0439037	2.02599916482057	3.2651235793615e-06	0.000110301128732683	No	NA	NA	NA
FBgn0282654	FBtr0438806	4.19262507389624	2.96435541127114e-06	0.000102496947690893	No	FBgn0263270	GJ26385	CG43396
FBgn0200531	FBtr0229230	1.25529522414988	2.29576721774033e-06	8.22836567431563e-05	Yes	FBgn0052412	GJ13305	QC
FBgn0208145	FBtr0236935	1.76286964707741	4.86272649606365e-06	0.00015534296926012	Yes	FBgn0025827	GJ21010	CG6421
FBgn0210669	FBtr0239497	5.06593283828283	4.56208925666606e-06	0.000148977559170462	No	FBgn0037690	GJ23572	Task7
FBgn0211252	FBtr0444427	1.30271468813822	6.74294496158794e-06	0.000202219543286806	Yes	FBgn0264324	GJ24168	spg
FBgn0022838	FBtr0238431	1.27134471027874	5.76579195207129e-06	0.000178375395233027	Yes	FBgn0032382	Mal	Mal-B2
FBgn0197820	FBtr0226465	1.08606958017814	4.67159441073177e-06	0.000150877098605941	No	FBgn0039682	Obp99c	Obp99c
FBgn0210564	FBtr0239391	1.05379067686978	8.058774910418e-06	0.000239239792542611	Yes	FBgn0038376	GJ23466	Hmt-1
FBgn0211261	FBtr0444118	1.41821468432153	1.09454851626537e-05	0.000315380204833719	No	FBgn0024273	GJ24177	WASp
FBgn0205345	FBtr0443806	1.63362313937694	1.32090855368002e-05	0.000372821344416869	No	FBgn0028916	GJ18180	CG33090
FBgn0205020	FBtr0233777	1.46042826671398	9.94319771623668e-06	0.000291987991770895	No	FBgn0032945	GJ17852	CG8665
FBgn0200317	FBtr0229014	1.14123189771813	1.33195784837602e-05	0.000372821344416869	No	NA	NA	NA
FBgn0207111	FBtr0235894	1.26146615470559	3.35828035955515e-05	0.000809015243994473	No	FBgn0034618	GJ19969	CG9485
FBgn0204183	FBtr0232931	1.95325877660074	0.000117157793703608	0.00223588802399288	No	FBgn0028411	GJ17006	Nxt1
FBgn0204466	FBtr0233216	1.04175410584424	0.000138595659246436	0.00251439902793381	No	FBgn0031428	GJ17291	CG9886
FBgn0210517	FBtr0239341	1.75478111685486	0.000202087259260579	0.00343314713853665	No	FBgn0039182	GJ23416	CG5728
FBgn0210868	FBtr0239696	1.24421936357993	0.000150841841986139	0.00267062755179073	No	FBgn0032913	GJ23771	CG9259
FBgn0211183	FBtr0240023	1.08871612910637	0.000175889809234124	0.00302304180900053	Yes	FBgn0000247	GJ24098	ca
FBgn0282253	FBtr0437930	3.58377525774824	0.000180118743953847	0.00307772667721138	No	FBgn0020908	GJ25984	Scp1
FBgn0202815	FBtr0442723	1.07316944040338	0.000281793631288955	0.00420401767694537	No	FBgn0025743	GJ15625	mbt
FBgn0198252	FBtr0226910	1.12987532718392	0.000360922860697454	0.00504277530205711	No	NA	NA	NA
FBgn0198332	FBtr0226996	1.32676273151242	0.000216155860333187	0.00350984571005103	No	FBgn0026565	GJ11071	Ass
FBgn0208366	FBtr0237158	2.12118724013115	0.000392066304714251	0.00536933195729214	Yes	FBgn0259876	GJ21233	Cap-G
FBgn0201121	FBtr0229827	1.39347350141943	0.000219689625943871	0.00351332322375248	No	FBgn0037146	GJ13902	CG7470
FBgn0205873	FBtr0234645	1.02530001152418	0.000247814505258128	0.00380848573473509	Yes	FBgn0030160	GJ18720	CG9691
FBgn0205635	FBtr0234401	1.30358457596545	0.000284110656367053	0.00421717787405439	No	FBgn0030955	GJ18476	CG6891
FBgn0210347	FBtr0442442	1.46551983063813	0.000337397028028195	0.00481364012317896	No	FBgn0039308	GJ23245	CG11889
FBgn0210347	FBtr0442442	1.46551983063813	0.000337397028028195	0.00481364012317896	No	FBgn0039309	GJ23245	CG11891
FBgn0210347	FBtr0442442	1.46551983063813	0.000337397028028195	0.00481364012317896	No	FBgn0039310	GJ23245	CG11878
FBgn0197417	FBtr0226054	2.69508722695199	0.000613010696539685	0.00746724502171592	No	FBgn0261004	GJ10129	asl
FBgn0208844	FBtr0237650	1.1193853373561	0.000506791601768352	0.00650419439998771	No	FBgn0042627	GJ21725	FASN2
FBgn0209972	FBtr0238793	1.28985839754198	0.000504504296915741	0.00650323740629545	No	FBgn0287184	GJ22868	FASN3
FBgn0206193	FBtr0234973	1.13582407262677	0.000540995737974465	0.00685338997373687	No	FBgn0030968	GJ19048	CG7322
FBgn0198618	FBtr0441148	1.01125429856655	0.000762612379397504	0.00872108086789597	No	NA	NA	NA
FBgn0210349	FBtr0239172	1.17252075202978	0.000669810204841071	0.00793779109688673	No	FBgn0039311	GJ23247	CG10513
FBgn0201579	FBtr0230291	1.69158305041316	0.000969135483349803	0.0103574152202366	Yes	FBgn0039040	GJ14366	CG13833
FBgn0209298	FBtr0434019	8.67218867493586	0.00305376289999004	0.0225502742790722	Yes	FBgn0033108	GJ22185	CG15236
FBgn0203729	FBtr0439466	1.34024339503005	0.00223987661497168	0.0181850756116071	Yes	FBgn0259228	GJ16545	C3G
FBgn0203308	FBtr0444550	1.10277753820448	0.00121733057601329	0.0121691651799424	No	FBgn0027560	GJ16123	Tps1
FBgn0205967	FBtr0234744	1.34394150743617	0.00194060360200904	0.016342217725801	No	FBgn0026679	GJ18819	IntS4
FBgn0202308	FBtr0231036	1.0875122033619	0.00149295592022436	0.0138013388302454	No	FBgn0001187	GJ15111	Hex-C
FBgn0200645	FBtr0229345	1.19390370497851	0.00180181140233627	0.015610257063548	No	FBgn0035484	GJ13420	CG11594
FBgn0210355	FBtr0442114	1.13046572074901	0.00172042369547838	0.0152298953042499	No	FBgn0020385	GJ23253	pug
FBgn0202548	FBtr0231279	1.05767870829887	0.00221584304486697	0.0180397858971303	No	FBgn0040349	GJ15354	CG3699
FBgn0210732	FBtr0239560	1.11741467969228	0.00313511142479331	0.0230352311936688	No	FBgn0037683	GJ23635	CG18473
FBgn0198047	FBtr0226698	1.68313726766977	0.00508775446978924	0.0326195570057024	No	FBgn0039558	GJ10773	BCAS2
FBgn0206155	FBtr0234934	1.12154570002077	0.00440514045463892	0.0295632822660876	Yes	FBgn0031184	GJ19009	CG14615
FBgn0201102	FBtr0434070	1.64478579772399	0.00758621557873003	0.0430422540268099	No	FBgn0026431	GJ13883	Grip75
FBgn0209287	FBtr0238099	1.10611694994203	0.00478539147033245	0.0312539234029046	No	FBgn0033093	GJ22174	CG3270
FBgn0207672	FBtr0444806	1.24965570803937	0.008355522915873	0.0463337393391524	No	FBgn0050015	GJ20532	CG30015
FBgn0207730	FBtr0236516	1.01601418164377	0.00626203605221624	0.0378525210310277	Yes	FBgn0034663	GJ20591	CG4363
FBgn0208618	FBtr0237417	1.28113079350326	0.00822554988216116	0.0458726586407431	No	FBgn0033949	GJ21492	Had2
